"\u274c Conditions not met for BAFL: RSI=53.4, SMA=78.35, Close=89.9, yesterday high=90.64, time=2025-08-12 09:33:26.165639+05:00"
"\u274c Conditions not met for FCL: RSI=57.14, SMA=24.22, Close=25.2, yesterday high=25.7, time=2025-08-12 09:33:26.256672+05:00"
"\u274c Conditions not met for ATRL: RSI=52.96, SMA=612.97, Close=672.0, yesterday high=692.0, time=2025-08-12 09:33:27.164754+05:00"
"\u274c Conditions not met for FCL: RSI=57.14, SMA=24.22, Close=25.2, yesterday high=25.7, time=2025-08-12 09:33:27.248663+05:00"
"\u274c Conditions not met for ATRL: RSI=52.96, SMA=612.97, Close=672.0, yesterday high=692.0, time=2025-08-12 09:33:28.167920+05:00"
"\u274c Conditions not met for FCL: RSI=57.14, SMA=24.22, Close=25.2, yesterday high=25.7, time=2025-08-12 09:33:28.261993+05:00"
"\u274c Conditions not met for ATRL: RSI=52.96, SMA=612.97, Close=672.0, yesterday high=692.0, time=2025-08-12 09:33:29.477665+05:00"
"\u274c Conditions not met for FCL: RSI=57.14, SMA=24.22, Close=25.2, yesterday high=25.7, time=2025-08-12 09:33:29.505194+05:00"
"\u274c Conditions not met for ATRL: RSI=52.96, SMA=612.97, Close=672.0, yesterday high=692.0, time=2025-08-12 09:33:30.162456+05:00"
"\u274c Conditions not met for ATRL: RSI=52.96, SMA=612.97, Close=672.0, yesterday high=692.0, time=2025-08-12 09:33:31.167326+05:00"
"\u274c Conditions not met for BAFL: RSI=53.4, SMA=78.35, Close=89.9, yesterday high=90.64, time=2025-08-12 09:33:31.170268+05:00"
"\u274c Conditions not met for FCL: RSI=57.14, SMA=24.22, Close=25.25, yesterday high=25.7, time=2025-08-12 09:33:31.253041+05:00"
"\u274c Conditions not met for ATRL: RSI=52.96, SMA=612.97, Close=672.0, yesterday high=692.0, time=2025-08-12 09:33:32.165709+05:00"
"\u274c Conditions not met for FCL: RSI=57.14, SMA=24.22, Close=25.25, yesterday high=25.7, time=2025-08-12 09:33:32.256212+05:00"
"\u274c Conditions not met for FCL: RSI=57.14, SMA=24.22, Close=25.25, yesterday high=25.7, time=2025-08-12 09:33:33.422379+05:00"
"\u274c Conditions not met for ATRL: RSI=52.96, SMA=612.97, Close=672.0, yesterday high=692.0, time=2025-08-12 09:33:34.164038+05:00"
"\u274c Conditions not met for FCL: RSI=57.14, SMA=24.22, Close=25.25, yesterday high=25.7, time=2025-08-12 09:33:34.250023+05:00"
"\u274c Conditions not met for ATRL: RSI=52.96, SMA=612.97, Close=672.0, yesterday high=692.0, time=2025-08-12 09:33:35.167126+05:00"
"\u274c Conditions not met for ATRL: RSI=52.96, SMA=612.97, Close=672.0, yesterday high=692.0, time=2025-08-12 09:33:37.163651+05:00"
"\u274c Conditions not met for BAFL: RSI=53.4, SMA=78.35, Close=89.9, yesterday high=90.64, time=2025-08-12 09:33:37.166841+05:00"
"\u274c Conditions not met for FCL: RSI=57.14, SMA=24.22, Close=25.25, yesterday high=25.7, time=2025-08-12 09:33:37.265118+05:00"
"\u274c Conditions not met for ATRL: RSI=52.96, SMA=612.97, Close=672.0, yesterday high=692.0, time=2025-08-12 09:33:38.163928+05:00"
"\u274c Conditions not met for ATRL: RSI=52.96, SMA=612.97, Close=672.0, yesterday high=692.0, time=2025-08-12 09:33:39.161919+05:00"
"\u274c Conditions not met for BAFL: RSI=53.4, SMA=78.35, Close=89.9, yesterday high=90.64, time=2025-08-12 09:33:39.164925+05:00"
"\u274c Conditions not met for FCL: RSI=57.14, SMA=24.22, Close=25.25, yesterday high=25.7, time=2025-08-12 09:33:39.254866+05:00"
"\u274c Conditions not met for FCL: RSI=57.14, SMA=24.22, Close=25.25, yesterday high=25.7, time=2025-08-12 09:33:40.324643+05:00"
"\u274c Conditions not met for ATRL: RSI=52.96, SMA=612.97, Close=672.0, yesterday high=692.0, time=2025-08-12 09:33:41.161415+05:00"
"\u274c Conditions not met for BAFL: RSI=53.4, SMA=78.35, Close=89.9, yesterday high=90.64, time=2025-08-12 09:33:42.162335+05:00"
"\u274c Conditions not met for FCL: RSI=57.14, SMA=24.22, Close=25.28, yesterday high=25.7, time=2025-08-12 09:33:42.254401+05:00"
"\u274c Conditions not met for BAFL: RSI=53.4, SMA=78.35, Close=89.9, yesterday high=90.64, time=2025-08-12 09:33:44.167828+05:00"
"\u274c Conditions not met for ATRL: RSI=52.96, SMA=612.97, Close=671.5, yesterday high=692.0, time=2025-08-12 09:33:46.162091+05:00"
"\u274c Conditions not met for BAFL: RSI=53.4, SMA=78.35, Close=89.35, yesterday high=90.64, time=2025-08-12 09:33:46.168852+05:00"
"\u274c Conditions not met for ATRL: RSI=52.96, SMA=612.97, Close=671.5, yesterday high=692.0, time=2025-08-12 09:33:47.315002+05:00"
"\u274c Conditions not met for FCL: RSI=57.14, SMA=24.22, Close=25.28, yesterday high=25.7, time=2025-08-12 09:33:47.351692+05:00"
"\u274c Conditions not met for ATRL: RSI=52.96, SMA=612.97, Close=671.99, yesterday high=692.0, time=2025-08-12 09:33:48.163977+05:00"
"\u274c Conditions not met for FCL: RSI=57.14, SMA=24.22, Close=25.28, yesterday high=25.7, time=2025-08-12 09:33:48.252086+05:00"
"\u274c Conditions not met for ATRL: RSI=52.96, SMA=612.97, Close=671.99, yesterday high=692.0, time=2025-08-12 09:33:49.162308+05:00"
"\u274c Conditions not met for ATRL: RSI=52.96, SMA=612.97, Close=671.99, yesterday high=692.0, time=2025-08-12 09:33:50.163558+05:00"
"\u274c Conditions not met for BAFL: RSI=53.4, SMA=78.35, Close=89.35, yesterday high=90.64, time=2025-08-12 09:33:50.167963+05:00"
"\u274c Conditions not met for FCL: RSI=57.14, SMA=24.22, Close=25.28, yesterday high=25.7, time=2025-08-12 09:33:50.264315+05:00"
"\u274c Conditions not met for ATRL: RSI=52.96, SMA=612.97, Close=671.99, yesterday high=692.0, time=2025-08-12 09:33:52.167783+05:00"
"\u274c Conditions not met for FCL: RSI=57.14, SMA=24.22, Close=25.28, yesterday high=25.7, time=2025-08-12 09:33:52.253474+05:00"
"\u274c Conditions not met for ATRL: RSI=52.96, SMA=612.97, Close=671.99, yesterday high=692.0, time=2025-08-12 09:33:53.162761+05:00"
"\u274c Conditions not met for FCL: RSI=57.14, SMA=24.22, Close=25.3, yesterday high=25.7, time=2025-08-12 09:33:54.260818+05:00"
"\u274c Conditions not met for ATRL: RSI=52.96, SMA=612.97, Close=671.99, yesterday high=692.0, time=2025-08-12 09:33:55.162287+05:00"
"\u274c Conditions not met for FCL: RSI=57.14, SMA=24.22, Close=25.3, yesterday high=25.7, time=2025-08-12 09:33:55.405794+05:00"
"\u274c Conditions not met for ATRL: RSI=52.96, SMA=612.97, Close=671.99, yesterday high=692.0, time=2025-08-12 09:33:56.163850+05:00"
"\u274c Conditions not met for FCL: RSI=57.14, SMA=24.22, Close=25.3, yesterday high=25.7, time=2025-08-12 09:33:56.284555+05:00"
"\u274c Conditions not met for FCL: RSI=57.14, SMA=24.22, Close=25.3, yesterday high=25.7, time=2025-08-12 09:33:58.314128+05:00"
"\u274c Conditions not met for ATRL: RSI=52.96, SMA=612.97, Close=671.99, yesterday high=692.0, time=2025-08-12 09:33:59.194371+05:00"
"\u274c Conditions not met for BAFL: RSI=53.4, SMA=78.35, Close=89.35, yesterday high=90.64, time=2025-08-12 09:33:59.197304+05:00"
"\u274c Conditions not met for FCL: RSI=57.14, SMA=24.22, Close=25.3, yesterday high=25.7, time=2025-08-12 09:33:59.260466+05:00"
"\u274c Conditions not met for FCL: RSI=57.14, SMA=24.22, Close=25.3, yesterday high=25.7, time=2025-08-12 09:34:00.270488+05:00"
"\u274c Conditions not met for FCL: RSI=57.14, SMA=24.22, Close=25.3, yesterday high=25.7, time=2025-08-12 09:34:01.265484+05:00"
"\u274c Conditions not met for ATRL: RSI=52.96, SMA=612.97, Close=671.99, yesterday high=692.0, time=2025-08-12 09:34:02.700180+05:00"
"\u274c Conditions not met for BAFL: RSI=53.4, SMA=78.35, Close=89.35, yesterday high=90.64, time=2025-08-12 09:34:02.704500+05:00"
"\u274c Conditions not met for FCL: RSI=57.14, SMA=24.22, Close=25.3, yesterday high=25.7, time=2025-08-12 09:34:03.772769+05:00"
"\u274c Conditions not met for FCL: RSI=57.14, SMA=24.22, Close=25.3, yesterday high=25.7, time=2025-08-12 09:34:03.979370+05:00"
"\u274c Conditions not met for ATRL: RSI=52.96, SMA=612.97, Close=671.5, yesterday high=692.0, time=2025-08-12 09:34:04.247411+05:00"
"\u274c Conditions not met for FCL: RSI=57.14, SMA=24.22, Close=25.3, yesterday high=25.7, time=2025-08-12 09:34:04.282205+05:00"
"\u274c Conditions not met for ATRL: RSI=52.96, SMA=612.97, Close=671.5, yesterday high=692.0, time=2025-08-12 09:34:05.284680+05:00"
"\u274c Conditions not met for BAFL: RSI=53.4, SMA=78.35, Close=89.35, yesterday high=90.64, time=2025-08-12 09:34:05.286743+05:00"
"\u274c Conditions not met for ATRL: RSI=52.96, SMA=612.97, Close=671.5, yesterday high=692.0, time=2025-08-12 09:34:06.175220+05:00"
"\u274c Conditions not met for FCL: RSI=57.14, SMA=24.22, Close=25.3, yesterday high=25.7, time=2025-08-12 09:34:06.507582+05:00"
"\u274c Conditions not met for FCL: RSI=57.14, SMA=24.22, Close=25.3, yesterday high=25.7, time=2025-08-12 09:34:07.280733+05:00"
"\u274c Conditions not met for ATRL: RSI=52.96, SMA=612.97, Close=671.99, yesterday high=692.0, time=2025-08-12 09:34:08.163574+05:00"
"\u274c Conditions not met for FCL: RSI=57.14, SMA=24.22, Close=25.3, yesterday high=25.7, time=2025-08-12 09:34:10.257190+05:00"
"\u274c Conditions not met for FCL: RSI=57.14, SMA=24.22, Close=25.3, yesterday high=25.7, time=2025-08-12 09:34:11.259399+05:00"
"\u274c Conditions not met for ATRL: RSI=52.96, SMA=612.97, Close=671.99, yesterday high=692.0, time=2025-08-12 09:34:12.162543+05:00"
"\u274c Conditions not met for FCL: RSI=57.14, SMA=24.22, Close=25.3, yesterday high=25.7, time=2025-08-12 09:34:12.306507+05:00"
"\u274c Conditions not met for ATRL: RSI=52.96, SMA=612.97, Close=671.99, yesterday high=692.0, time=2025-08-12 09:34:13.300588+05:00"
"\u274c Conditions not met for ATRL: RSI=52.96, SMA=612.97, Close=671.99, yesterday high=692.0, time=2025-08-12 09:34:15.162198+05:00"
"\u274c Conditions not met for FCL: RSI=57.14, SMA=24.22, Close=25.3, yesterday high=25.7, time=2025-08-12 09:34:15.253276+05:00"
"\u274c Conditions not met for ATRL: RSI=52.96, SMA=612.97, Close=671.99, yesterday high=692.0, time=2025-08-12 09:34:16.184021+05:00"
