"\u00e5tkt modified tsl: Conditions not met for ATRL: RSI=47.9, SMA=613.98, Close=662.5, yesterday high=673.97, time=2025-08-13 09:34:17.171998+05:00"
"\u00e5tkt modified tsl: Conditions not met for ATRL: RSI=47.9, SMA=613.98, Close=662.5, yesterday high=673.97, time=2025-08-13 09:34:19.169982+05:00"
"\u00e5tkt modified tsl: Conditions not met for FCL: RSI=52.16, SMA=24.22, Close=24.94, yesterday high=25.45, time=2025-08-13 09:34:19.263991+05:00"
"\u00e5tkt modified tsl: Conditions not met for ATRL: RSI=47.9, SMA=613.98, Close=662.5, yesterday high=673.97, time=2025-08-13 09:34:21.171478+05:00"
"\u00e5tkt modified tsl: Conditions not met for FCL: RSI=52.16, SMA=24.22, Close=24.94, yesterday high=25.45, time=2025-08-13 09:34:21.279303+05:00"
"\u00e5tkt modified tsl: Conditions not met for FCL: RSI=52.16, SMA=24.22, Close=24.94, yesterday high=25.45, time=2025-08-13 09:34:24.314961+05:00"
"\u00e5tkt modified tsl: Conditions not met for FCL: RSI=52.16, SMA=24.22, Close=24.94, yesterday high=25.45, time=2025-08-13 09:34:27.526846+05:00"
"\u00e5tkt modified tsl: Conditions not met for FCL: RSI=52.16, SMA=24.22, Close=24.94, yesterday high=25.45, time=2025-08-13 09:34:28.396732+05:00"
"\u00e5tkt modified tsl: Conditions not met for ATRL: RSI=47.9, SMA=613.98, Close=662.49, yesterday high=673.97, time=2025-08-13 09:34:32.576965+05:00"
"\u00e5tkt modified tsl: Conditions not met for BAFL: RSI=64.78, SMA=78.48, Close=94.49, yesterday high=95.64, time=2025-08-13 09:34:32.578880+05:00"
"\u00e5tkt modified tsl: Conditions not met for FCL: RSI=52.16, SMA=24.22, Close=24.94, yesterday high=25.45, time=2025-08-13 09:34:32.620578+05:00"
"\u00e5tkt modified tsl: Conditions not met for ATRL: RSI=47.9, SMA=613.98, Close=662.49, yesterday high=673.97, time=2025-08-13 09:34:33.169835+05:00"
"\u00e5tkt modified tsl: Conditions not met for FCL: RSI=52.16, SMA=24.22, Close=24.94, yesterday high=25.45, time=2025-08-13 09:34:33.259415+05:00"
"\u00e5tkt modified tsl: Conditions not met for ATRL: RSI=47.9, SMA=613.98, Close=662.49, yesterday high=673.97, time=2025-08-13 09:34:35.169822+05:00"
"\u00e5tkt modified tsl: Conditions not met for ATRL: RSI=47.9, SMA=613.98, Close=662.49, yesterday high=673.97, time=2025-08-13 09:34:37.172226+05:00"
"\u00e5tkt modified tsl: Conditions not met for ATRL: RSI=47.9, SMA=613.98, Close=662.5, yesterday high=673.97, time=2025-08-13 09:34:38.170188+05:00"
"\u00e5tkt modified tsl: Conditions not met for BAFL: RSI=64.78, SMA=78.48, Close=94.49, yesterday high=95.64, time=2025-08-13 09:34:43.557570+05:00"
"\u00e5tkt modified tsl: Conditions not met for FCL: RSI=52.16, SMA=24.22, Close=24.94, yesterday high=25.45, time=2025-08-13 09:34:43.596626+05:00"
"\u00e5tkt modified tsl: Conditions not met for ATRL: RSI=47.9, SMA=613.98, Close=662.5, yesterday high=673.97, time=2025-08-13 09:34:45.175293+05:00"
