"\u274c Conditions not met for FCL: RSI=56.52, SMA=24.22, Close=25.35, yesterday high=25.34, time=2025-08-11 13:23:38.231966+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.5, yesterday high=429.0, time=2025-08-11 13:23:39.657165+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.0, yesterday high=690.02, time=2025-08-11 13:23:42.154251+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.5, yesterday high=429.0, time=2025-08-11 13:23:43.632237+05:00"
"\u274c Conditions not met for FCL: RSI=56.52, SMA=24.22, Close=25.35, yesterday high=25.34, time=2025-08-11 13:23:45.230423+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.5, yesterday high=429.0, time=2025-08-11 13:23:45.627810+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.35, yesterday high=690.02, time=2025-08-11 13:23:46.145086+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.35, yesterday high=690.02, time=2025-08-11 13:23:48.145414+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.35, yesterday high=690.02, time=2025-08-11 13:23:49.145197+05:00"
"\u274c Conditions not met for BAFL: RSI=51.13, SMA=78.24, Close=90.0, yesterday high=89.9, time=2025-08-11 13:23:49.149146+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.5, yesterday high=429.0, time=2025-08-11 13:23:49.633236+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.5, yesterday high=690.02, time=2025-08-11 13:23:52.145108+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.5, yesterday high=429.0, time=2025-08-11 13:23:57.654456+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.5, yesterday high=429.0, time=2025-08-11 13:23:58.634552+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.6, yesterday high=429.0, time=2025-08-11 13:24:01.630831+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.5, yesterday high=690.02, time=2025-08-11 13:24:02.146624+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.5, yesterday high=690.02, time=2025-08-11 13:24:04.145998+05:00"
"\u274c Conditions not met for FCL: RSI=56.52, SMA=24.22, Close=25.35, yesterday high=25.34, time=2025-08-11 13:24:05.231333+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.6, yesterday high=429.0, time=2025-08-11 13:24:06.630805+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.5, yesterday high=690.02, time=2025-08-11 13:24:07.144711+05:00"
"\u274c Conditions not met for BAFL: RSI=51.13, SMA=78.24, Close=90.0, yesterday high=89.9, time=2025-08-11 13:24:07.149665+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.5, yesterday high=690.02, time=2025-08-11 13:24:09.147006+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.5, yesterday high=690.02, time=2025-08-11 13:24:12.148520+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.5, yesterday high=429.0, time=2025-08-11 13:24:13.629734+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.7, yesterday high=690.02, time=2025-08-11 13:24:14.146709+05:00"
"\u274c Conditions not met for FCL: RSI=56.52, SMA=24.22, Close=25.35, yesterday high=25.34, time=2025-08-11 13:24:14.233713+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.7, yesterday high=690.02, time=2025-08-11 13:24:18.145324+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.5, yesterday high=690.02, time=2025-08-11 13:24:22.145511+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.5, yesterday high=690.02, time=2025-08-11 13:24:23.169040+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.5, yesterday high=429.0, time=2025-08-11 13:24:25.641837+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.5, yesterday high=429.0, time=2025-08-11 13:24:26.637265+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.5, yesterday high=690.02, time=2025-08-11 13:24:29.152010+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.5, yesterday high=690.02, time=2025-08-11 13:24:32.244963+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.5, yesterday high=429.0, time=2025-08-11 13:24:35.875139+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.5, yesterday high=429.0, time=2025-08-11 13:24:37.090492+05:00"
"\u274c Conditions not met for FCL: RSI=56.52, SMA=24.22, Close=25.35, yesterday high=25.34, time=2025-08-11 13:24:37.334828+05:00"
"\u274c Conditions not met for BAFL: RSI=51.13, SMA=78.24, Close=90.0, yesterday high=89.9, time=2025-08-11 13:24:40.158667+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.5, yesterday high=429.0, time=2025-08-11 13:24:46.724335+05:00"
"\u274c Conditions not met for FCL: RSI=56.52, SMA=24.22, Close=25.35, yesterday high=25.34, time=2025-08-11 13:24:47.312172+05:00"
"\u274c Conditions not met for FCL: RSI=56.52, SMA=24.22, Close=25.35, yesterday high=25.34, time=2025-08-11 13:24:49.234387+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.5, yesterday high=429.0, time=2025-08-11 13:24:50.717497+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.5, yesterday high=690.02, time=2025-08-11 13:24:51.175130+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.5, yesterday high=429.0, time=2025-08-11 13:24:51.892884+05:00"
"\u274c Conditions not met for BAFL: RSI=51.13, SMA=78.24, Close=89.85, yesterday high=89.9, time=2025-08-11 13:24:52.163747+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.51, yesterday high=429.0, time=2025-08-11 13:24:54.629907+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.5, yesterday high=690.02, time=2025-08-11 13:24:55.145907+05:00"
