record_identifier,symbol_code,market_code,symbol_state,symbol_flag,bid_volume,bid_price,ask_price,ask_volume,last_trade_price,last_trade_volume,last_trade_time,last_day_close_price,symbol_direction,average_price,high_price,low_price,net_change,total_traded_volume,total_trades,open_price,timestamp
FEED,LOTCHEM,REG,E0,"",0,0,0,0,21.17,2946,,21.23,,70634774.87,21.49,20.95,-0.06,3333444,945,21.21,2025-01-15 15:50:05
FEED,LPGL,REG,E0,"",0,0,0,0,127.66,4,,123.12,,15409884.9,135.0,126.0,4.54,118495,740,131.99,2025-01-15 15:50:05
FEED,LPL,REG,E0,"",0,0,0,0,23.28,100,,23.31,,21805533.18,24.0,23.12,-0.03,920949,547,23.38,2025-01-15 15:50:05
FEED,LSECL,REG,E0,"",0,0,0,0,5.91,10000,,5.84,,692782.74,6.29,5.83,0.07,115490,74,5.83,2025-01-15 15:50:05
FEED,LSEFSL,REG,E0,"",0,0,0,0,17.49,500,,15.9,,2137532.38,17.49,16.0,1.59,124559,108,16.97,2025-01-15 15:50:05
FEED,LSEPL,REG,PRE,"",0,0,0,0,4.65,0,,4.65,,0,,,,0,0,,2025-01-15 09:30:35
FEED,LSEVL,REG,E0,"",0,0,0,0,12.93,1000,,12.94,,592750.02,14.2,12.5,-0.01,45305,33,12.74,2025-01-15 15:50:05
FEED,LUCK,REG,E0,"",0,0,0,0,1110.64,428,,1116.52,,108830158.09,1129.0,1099.0,-5.88,97947,1150,1105.1,2025-01-15 15:50:05
FEED,MACFL,REG,E0,"",0,0,0,0,17.22,1000,,17.39,,2391852.52,17.6,17.11,-0.17,137883,141,17.37,2025-01-15 15:50:05
FEED,MACTER,REG,E0,"",0,0,0,0,294.99,10,,285.96,,4262419.18,297.99,281.0,9.03,14620,189,286.0,2025-01-15 15:50:05
FEED,MARI,REG,E0,"",0,0,0,0,691.46,300,,706.63,,1023115471.22,716.65,687.1,-15.17,1456257,12346,707.0,2025-01-15 15:50:05
FEED,MCB,REG,E0,"",0,0,0,0,281.62,3000,,283.13,,207093109.67,286.6,280.03,-1.51,733837,977,284.0,2025-01-15 15:50:05
FEED,MCBIM,REG,E0,"",0,0,0,0,67.0,4799,,65.82,,434743.88,69.9,65.0,1.18,6526,15,69.9,2025-01-15 15:50:05
FEED,MDTL,REG,E0,"",0,0,0,0,2.41,10,,2.31,,4941358.36,2.55,2.3,0.1,2005220,329,2.35,2025-01-15 15:50:05
FEED,MEBL,REG,E0,"",0,0,0,0,237.46,2,,237.4,,290491601.55,238.99,236.0,0.06,1221962,1549,237.99,2025-01-15 15:50:05
FEED,MEHT,REG,E0,"",0,0,0,0,666.77,10,,667.5,,199620.36,674.75,625.0,-0.73,306,22,670.0,2025-01-15 15:50:05
FEED,MERIT,REG,E0,"",0,0,0,0,10.02,2,,10.01,,2126294.03,10.3,9.99,0.01,211365,127,10.3,2025-01-15 15:50:05
FEED,META,REG,PRE,"",0,0,0,0,9.67,0,,9.67,,0,,,,0,0,,2025-01-15 09:30:39
FEED,MFFL,REG,E0,"",0,0,0,0,295.59,100,,274.93,,190609402.46,302.42,278.0,20.66,650768,1627,287.0,2025-01-15 15:50:05
FEED,MFL,REG,E0,"",0,0,0,0,44.11,95,,45.12,,497253.45,46.0,44.0,-1.01,11004,50,45.5,2025-01-15 15:50:05
FEED,MFTM,REG,E1,"",0,0,0,0,3.49,0,,3.49,,0.0,,,,0,0,,2025-01-15 15:50:05
FEED,MIIETF,REG,E0,"",0,0,0,0,14.94,500,,14.94,,1971935.0,15.1,14.93,0.0,131500,66,15.07,2025-01-15 15:50:05
FEED,MIRKS,REG,E0,"",0,0,0,0,28.59,50,,28.6,,332371.35,29.0,28.2,-0.01,11582,49,28.75,2025-01-15 15:50:05
FEED,MIRKSR,REG,PRE,"",0,0,0,0,8.67,0,,8.67,,0,,,,0,0,,2025-01-15 09:30:11
FEED,MLCF,REG,E0,"",0,0,0,0,44.34,50,,44.62,,391611565.56,45.59,44.0,-0.28,8703889,4105,44.79,2025-01-15 15:50:05
FEED,MODAM,REG,PRE,"",0,0,0,0,5.73,0,,5.73,,0,,,,0,0,,2025-01-15 09:30:40
FEED,MOHE,REG,E1,"",0,0,0,0,0.15,0,,0.15,,0.0,,,,0,0,,2025-01-15 15:50:05
FEED,MQTM,REG,E0,"",0,0,0,0,28.37,0,,28.37,,0.0,,,,0,0,,2025-01-15 15:50:05
FEED,MRNS,REG,E0,"",0,0,0,0,41.5,200,,40.99,,541507.05,42.0,41.0,0.51,12934,34,41.99,2025-01-15 15:50:05
FEED,MSCL,REG,E0,"",0,0,0,0,10.55,100,,10.74,,525777.44,10.89,10.53,-0.19,49536,66,10.89,2025-01-15 15:50:06
FEED,MSOT,REG,E0,"",0,0,0,0,55.55,1,,55.55,,1147.1,61.0,50.02,0.0,20,5,61.0,2025-01-15 15:50:06
FEED,MSOTPS,REG,E0,"",0,0,0,0,9.51,0,,9.51,,0.0,,,,0,0,,2025-01-15 15:50:06
FEED,MTL,REG,E0,"",0,0,0,0,715.52,20,,709.26,,1001141253.71,760.0,712.0,6.26,1362027,7204,750.0,2025-01-15 15:50:06
FEED,MUBT,REG,E1,"",0,0,0,0,3.85,0,,3.85,,0.0,,,,0,0,,2025-01-15 15:50:06
FEED,MUGHAL,REG,E0,"",0,0,0,0,81.66,455,,82.08,,75417717.65,84.25,81.32,-0.42,906894,1189,82.65,2025-01-15 15:50:06
FEED,MUREB,REG,E0,"",0,0,0,0,800.5,69,,800.4,,5495123.6,810.0,786.02,0.1,6862,96,800.0,2025-01-15 15:50:06
FEED,MWMP,REG,E0,"",0,0,0,0,22.25,500,,21.37,,227527.9,23.48,20.09,0.88,10192,23,23.48,2025-01-15 15:50:06
FEED,MZNPETF,REG,E0,"",0,0,0,0,18.19,500,,18.22,,4686715.0,18.4,18.17,-0.03,256000,116,18.38,2025-01-15 15:50:06
FEED,NAFL,REG,E1,"",0,0,0,0,10.0,0,,10.0,,0.0,,,,0,0,,2025-01-15 15:50:06
FEED,NAGC,REG,E0,"",0,0,0,0,55.5,0,,55.5,,0.0,,,,0,0,,2025-01-15 15:50:06
FEED,NATF,REG,E0,"",0,0,0,0,188.0,3,,189.2,,8373326.53,190.75,186.01,-1.2,44587,192,190.75,2025-01-15 15:50:06
FEED,NATM,REG,E0,"",0,0,0,0,80.0,0,,80.0,,0.0,,,,0,0,,2025-01-15 15:50:06
FEED,NBP,REG,E0,"",0,0,0,0,62.03,50000,,62.4,,59052154.12,63.0,61.8,-0.37,947921,571,62.03,2025-01-15 15:50:06
FEED,NBPGETF,REG,E0,"",0,0,0,0,22.61,500,,22.53,,45210.0,22.61,22.61,0.08,2000,3,22.61,2025-01-15 15:50:06
FEED,NCL,REG,E0,"",0,0,0,0,34.45,500,,34.0,,7183692.9,34.55,33.99,0.45,210009,155,34.5,2025-01-15 15:50:06
FEED,NCML,REG,E0,"",0,0,0,0,12.02,0,,12.02,,0.0,,,,0,0,,2025-01-15 15:50:06
FEED,NCPL,REG,E0,"",0,0,0,0,26.81,4556,,26.78,,19876672.19,27.0,26.75,0.03,739468,312,26.78,2025-01-15 15:50:06
FEED,NESTLE,REG,E0,"",0,0,0,0,7408.98,2,,7435.93,,1115143.19,7489.22,7250.0,-26.95,152,30,7303.0,2025-01-15 15:50:06
FEED,NETSOL,REG,E0,"",0,0,0,0,156.29,2000,,158.19,,326521626.12,160.5,155.0,-1.9,2060546,3244,159.55,2025-01-15 15:50:06
FEED,NEXT,REG,E0,"",0,0,0,0,10.51,50,,10.97,,46158.55,10.8,10.25,-0.46,4358,14,10.75,2025-01-15 15:50:06
FEED,NICL,REG,E0,"",0,0,0,0,145.53,499,,140.25,,2684493.18,146.0,139.0,5.28,18819,32,141.0,2025-01-15 15:50:06
FEED,NINA,REG,E1,"",0,0,0,0,1.01,0,,1.01,,0.0,,,,0,0,,2025-01-15 15:50:06
FEED,NITGETF,REG,E0,"",0,0,0,0,25.61,1000,,25.56,,256030.0,25.62,25.6,0.05,10000,4,25.6,2025-01-15 15:50:06
FEED,NMFL,REG,E1,"",0,0,0,0,12.76,0,,12.76,,0.0,,,,0,0,,2025-01-15 15:50:06
FEED,NML,REG,E0,"",0,0,0,0,101.28,1,,101.06,,44635675.87,102.75,100.7,0.22,437566,441,101.25,2025-01-15 15:50:06
FEED,NONS,REG,E0,"",0,0,0,0,74.0,200,,69.99,,34927.0,74.0,73.98,4.01,472,3,73.98,2025-01-15 15:50:06
FEED,NPL,REG,E0,"",0,0,0,0,34.28,30,,35.18,,36223060.61,35.49,34.0,-0.9,1038913,439,35.49,2025-01-15 15:50:06
FEED,NRL,REG,E0,"",0,0,0,0,289.32,500,,283.62,,585781520.78,298.74,285.25,5.7,2007990,5338,286.0,2025-01-15 15:50:06
FEED,NRSL,REG,E0,"",0,0,0,0,25.23,500,,25.51,,2039201.11,25.49,25.01,-0.28,81058,98,25.26,2025-01-15 15:50:06
FEED,NSRM,REG,E0,"",0,0,0,0,55.44,0,,55.44,,0.0,,,,0,0,,2025-01-15 15:50:06
FEED,OBOY,REG,E0,"",0,0,0,0,9.81,12,,9.84,,2230225.05,10.0,9.55,-0.03,228576,223,9.96,2025-01-15 15:50:06
FEED,OCTOPUS,REG,E0,"",0,0,0,0,68.44,3,,70.01,,141389113.09,71.1,68.12,-1.57,2019092,2670,70.25,2025-01-15 15:50:06
FEED,OGDC,REG,E0,"",0,0,0,0,221.77,1,,222.15,,1272862232.39,226.23,219.4,-0.38,5707634,6080,222.99,2025-01-15 15:50:06
FEED,OLPL,REG,E0,"",0,0,0,0,36.0,28,,36.47,,83455.64,36.03,36.0,-0.47,2318,6,36.01,2025-01-15 15:50:06
FEED,OLPM,REG,E0,"",0,0,0,0,16.4,1000,,16.1,,451520.08,16.65,15.75,0.3,28165,23,15.76,2025-01-15 15:50:06
FEED,OML,REG,E0,"",0,0,0,0,35.33,1,,39.2,,17737.48,38.2,35.28,-3.87,502,4,35.4,2025-01-15 15:50:06
FEED,ORM,REG,E0,"",0,0,0,0,7.87,11500,,7.87,,325161.0,7.87,7.86,0.0,41500,13,7.87,2025-01-15 15:50:06
FEED,OTSU,REG,E0,"",0,0,0,0,186.36,100,,169.42,,24628556.9,186.36,174.0,16.94,136867,212,174.0,2025-01-15 15:50:06
FEED,PABC,REG,E0,"",0,0,0,0,113.39,331,,117.92,,17029373.76,119.0,112.0,-4.53,147062,470,117.9,2025-01-15 15:50:06
FEED,PACE,REG,E0,"",0,0,0,0,7.22,4201,,7.42,,37654114.5,7.45,7.17,-0.2,5188661,1679,7.35,2025-01-15 15:50:06
FEED,PAEL,REG,E0,"",0,0,0,0,42.69,142,,42.8,,394590247.66,43.3,42.5,-0.11,9189061,3672,42.8,2025-01-15 15:50:06
FEED,PAKD,REG,E0,"",0,0,0,0,122.98,1,,125.71,,4055223.14,129.85,121.0,-2.73,32476,165,128.7,2025-01-15 15:50:06
FEED,PAKL,REG,E0,"",0,0,0,0,30.03,0,,30.03,,0.0,,,,0,0,,2025-01-15 15:50:06
